n_factors_true,n_factors_final,factor_match,n_true_items,n_weak_items,total_items,N,ratio,kmo_overall,meets_kmo_criterion,meets_ratio_criterion,precision,recall,n_iter
3,3,True,9,5,14,150,10.714285714285714,0.6813734330804411,True,True,1.0,1.0,6
3,3,True,18,5,23,259,11.26086956521739,0.8440866189934483,True,True,1.0,0.9444444444444444,7
3,2,False,9,11,20,168,8.4,0.6144395081464488,True,True,1.0,0.6666666666666666,15
2,2,True,6,7,13,150,11.538461538461538,0.714245877081815,True,True,1.0,1.0,8
2,2,True,10,14,24,200,8.333333333333334,0.7813888232083785,True,True,1.0,1.0,15
2,2,True,8,5,13,150,11.538461538461538,0.7654465997544224,True,True,1.0,1.0,6
2,2,True,10,6,16,150,9.375,0.8042267207987351,True,True,1.0,1.0,7
3,3,True,18,13,31,248,8.0,0.7993145506688867,True,True,1.0,1.0,14
3,3,True,12,12,24,212,8.833333333333334,0.7403311291194803,True,True,1.0,1.0,13
2,2,True,8,9,17,150,8.823529411764707,0.7739371238669809,True,True,1.0,1.0,10
3,3,True,15,5,20,221,11.05,0.8212013772313653,True,True,1.0,1.0,6
2,2,True,8,11,19,195,10.263157894736842,0.7275125561527933,True,True,1.0,1.0,12
2,2,True,10,13,23,205,8.91304347826087,0.7995339107639193,True,True,1.0,1.0,14
3,3,True,18,12,30,296,9.866666666666667,0.8368970682745062,True,True,1.0,0.9444444444444444,14
3,3,True,12,15,27,262,9.703703703703704,0.7564029049505355,True,True,1.0,1.0,16
3,3,True,15,8,23,195,8.478260869565217,0.7883498275280396,True,True,1.0,1.0,9
2,2,True,8,13,21,178,8.476190476190476,0.7566556324553323,True,True,1.0,1.0,14
3,3,True,9,11,20,214,10.7,0.7078457168377948,True,True,1.0,1.0,12
3,3,True,15,14,29,213,7.344827586206897,0.7759137344151639,True,True,1.0,1.0,15
3,3,True,15,12,27,233,8.62962962962963,0.8108072867810555,True,True,1.0,1.0,13
2,2,True,6,10,16,150,9.375,0.6756119205270217,True,True,1.0,1.0,11
2,2,True,12,5,17,150,8.823529411764707,0.8101634620508605,True,True,1.0,1.0,6
2,2,True,6,9,15,173,11.533333333333333,0.6809328764578613,True,True,1.0,1.0,10
3,3,True,12,5,17,150,8.823529411764707,0.7420547302141636,True,True,1.0,0.9166666666666666,7
2,2,True,8,10,18,207,11.5,0.7567658988615426,True,True,1.0,1.0,11
2,2,True,10,10,20,233,11.65,0.8111759064883601,True,True,1.0,0.9,12
3,3,True,12,14,26,295,11.346153846153847,0.722193531753937,True,True,1.0,0.9166666666666666,16
3,3,True,15,11,26,205,7.884615384615385,0.806552740791979,True,True,1.0,1.0,12
3,3,True,18,12,30,270,9.0,0.820961327947714,True,True,1.0,1.0,13
2,1,False,6,5,11,150,13.636363636363637,0.6509569238983365,True,True,1.0,0.5,9
2,1,False,6,15,21,168,8.0,0.5827923463480306,False,True,1.0,0.5,19
3,3,True,15,9,24,283,11.791666666666666,0.8138420144761076,True,True,1.0,1.0,10
2,2,True,6,8,14,150,10.714285714285714,0.7051831666004673,True,True,1.0,0.8333333333333334,10
2,2,True,10,15,25,269,10.76,0.8211848097288652,True,True,1.0,1.0,16
3,3,True,18,10,28,276,9.857142857142858,0.8208488302540105,True,True,1.0,1.0,11
2,2,True,12,8,20,225,11.25,0.8312845663354176,True,True,1.0,1.0,9
3,3,True,15,12,27,240,8.88888888888889,0.8018024575125954,True,True,1.0,1.0,13
2,2,True,12,11,23,228,9.91304347826087,0.8344528525571845,True,True,1.0,1.0,12
3,3,True,15,14,29,337,11.620689655172415,0.8007344533006525,True,True,1.0,1.0,15
2,2,True,10,5,15,150,10.0,0.7708838050757193,True,True,1.0,1.0,6
2,2,True,12,8,20,205,10.25,0.8290825711605218,True,True,1.0,1.0,9
2,2,True,6,6,12,150,12.5,0.7626779015809165,True,True,1.0,1.0,7
